StudentID,CGPA,Internships,Projects,Certifications,Aptitude_Score,Soft_Skills_Rating,Extracurricular_Activities,Placement_Training,Secondary_School_Marks,Higher_Secondary_Marks,Placement_Status,Total_Academic_Score
150,7.9,2,1,0,83,4.0,Yes,Yes,63,70,NotPlaced,162
151,8.4,2,3,2,90,4.8,Yes,Yes,90,85,Placed,174
152,8.6,0,3,2,90,4.8,Yes,Yes,73,78,Placed,176
153,7.8,0,1,0,81,3.9,Yes,Yes,79,65,Placed,159
154,8.1,2,3,3,90,4.8,Yes,Yes,80,83,Placed,171
155,7.2,1,3,1,75,4.2,Yes,Yes,64,84,NotPlaced,147
156,7.7,0,1,0,81,4.8,Yes,Yes,69,63,Placed,158
157,8.4,1,3,2,90,4.5,Yes,Yes,79,86,Placed,174
158,8.0,1,3,1,87,4.6,Yes,Yes,72,83,NotPlaced,167
159,7.8,0,1,1,72,4.0,No,No,61,69,NotPlaced,150
160,6.5,1,1,0,63,3.5,No,No,56,64,NotPlaced,128
161,6.5,0,3,0,71,3.6,No,Yes,57,74,NotPlaced,136
162,7.9,1,2,1,81,4.0,Yes,Yes,60,71,NotPlaced,160
163,6.7,1,1,0,75,4.2,No,No,56,64,NotPlaced,142
164,6.9,0,1,0,73,4.1,No,Yes,55,69,Placed,142
165,6.5,1,1,2,85,4.3,Yes,No,62,72,Placed,150
166,6.5,0,1,1,79,3.9,No,No,55,66,NotPlaced,144
167,7.3,1,1,1,71,3.6,No,No,65,64,NotPlaced,144
168,8.3,2,3,0,71,4.6,Yes,Yes,77,82,Placed,154
169,7.5,1,1,1,74,3.9,No,No,63,65,NotPlaced,149
170,8.0,2,3,3,76,4.1,Yes,Yes,78,61,NotPlaced,156
171,8.3,1,2,1,69,3.8,No,Yes,76,71,NotPlaced,152
172,6.6,0,3,0,87,4.5,No,No,80,82,NotPlaced,153
173,7.4,0,3,0,90,4.6,No,No,65,70,NotPlaced,164
174,8.0,1,1,1,78,4.4,No,No,66,68,NotPlaced,158
175,8.0,2,3,2,90,4.8,Yes,Yes,78,86,Placed,170
176,6.7,1,2,0,73,4.5,No,Yes,55,65,NotPlaced,140
177,8.3,1,2,3,78,3.8,Yes,No,67,65,NotPlaced,161
178,8.5,1,3,2,90,4.8,Yes,Yes,61,86,Placed,175
179,7.5,2,1,2,90,4.8,Yes,No,55,65,NotPlaced,165
180,7.4,1,1,0,60,3.4,No,No,58,62,NotPlaced,134
181,8.4,0,1,2,88,4.8,Yes,Yes,74,82,Placed,172
182,8.2,1,3,0,82,4.8,Yes,Yes,70,73,Placed,164
183,6.5,1,1,0,74,4.2,No,Yes,74,61,NotPlaced,139
184,7.7,1,1,0,71,4.7,No,Yes,57,69,NotPlaced,148
185,7.3,1,2,2,67,4.5,No,No,63,66,NotPlaced,140
186,6.5,0,1,0,78,3.7,Yes,Yes,75,69,NotPlaced,143
187,6.5,1,1,1,68,4.1,No,No,55,65,NotPlaced,133
188,7.5,1,1,0,76,4.3,No,Yes,73,79,NotPlaced,151
189,7.8,1,1,1,65,3.9,No,No,55,70,NotPlaced,143
190,6.8,1,1,0,78,4.3,No,No,61,62,NotPlaced,146
191,8.4,2,3,2,90,4.1,Yes,Yes,76,82,Placed,174
192,7.8,2,2,2,80,4.6,No,Yes,59,74,Placed,158
193,7.5,1,2,0,77,4.2,Yes,Yes,58,63,NotPlaced,152
194,8.9,0,1,2,80,4.8,Yes,Yes,75,82,Placed,169
195,6.5,0,1,0,75,3.7,No,No,58,62,NotPlaced,140
196,8.4,1,1,2,87,4.1,No,No,78,70,NotPlaced,171
197,8.1,0,1,0,71,3.6,Yes,No,69,67,NotPlaced,152
198,8.5,2,3,0,86,4.2,Yes,Yes,60,85,Placed,171
199,7.6,1,1,1,82,4.8,Yes,Yes,79,86,Placed,158
200,7.8,2,3,0,79,4.3,Yes,No,87,87,NotPlaced,157
201,8.6,1,3,2,90,4.7,Yes,Yes,68,84,Placed,176
202,7.9,2,3,2,76,4.6,Yes,Yes,79,82,Placed,155
203,6.5,0,2,2,75,4.5,Yes,No,65,59,NotPlaced,140
204,8.2,0,2,1,82,4.5,Yes,Yes,78,87,Placed,164
205,8.2,1,1,0,81,4.3,Yes,Yes,60,70,Placed,163
206,7.6,1,1,0,64,4.1,No,No,69,67,NotPlaced,140
207,7.3,1,2,1,84,4.6,No,Yes,55,72,NotPlaced,157
208,8.4,2,3,2,90,4.5,Yes,Yes,85,79,Placed,174
209,8.3,2,3,3,90,4.5,Yes,Yes,70,88,Placed,173
210,7.8,1,3,0,88,4.8,Yes,Yes,70,78,Placed,166
211,8.3,1,2,1,82,4.7,Yes,Yes,77,84,NotPlaced,165
212,7.5,1,1,1,69,4.1,No,No,55,75,NotPlaced,144
213,8.6,2,3,2,78,4.8,Yes,Yes,82,81,NotPlaced,164
214,7.8,2,2,2,77,4.2,Yes,No,57,69,NotPlaced,155
215,6.6,1,1,1,71,4.3,No,No,70,66,NotPlaced,137
216,7.4,0,1,1,70,4.2,No,No,61,70,NotPlaced,144
217,6.9,1,2,1,74,4.1,No,No,55,69,NotPlaced,143
218,6.6,1,1,0,77,4.5,No,No,62,70,NotPlaced,143
219,8.3,1,2,2,88,4.1,Yes,Yes,80,79,Placed,171
220,7.9,2,2,2,88,4.8,Yes,Yes,81,85,Placed,167
221,6.6,1,2,1,76,4.1,Yes,Yes,82,69,NotPlaced,142
222,8.0,2,3,2,86,4.8,Yes,Yes,62,83,Placed,166
223,7.5,1,2,0,86,3.8,No,No,55,68,NotPlaced,161
224,7.9,2,3,2,90,4.8,Yes,No,81,78,NotPlaced,169
225,8.3,1,3,2,78,3.9,Yes,Yes,60,61,Placed,161
226,7.4,1,1,0,74,3.5,No,Yes,67,62,NotPlaced,148
227,8.0,2,2,2,87,3.8,Yes,Yes,79,78,Placed,167
228,8.7,2,3,2,87,4.7,Yes,Yes,80,84,Placed,174
229,7.4,1,2,0,77,4.5,No,Yes,66,86,NotPlaced,151
230,7.9,2,3,2,90,4.8,Yes,Yes,83,88,Placed,169
231,7.5,1,1,1,70,4.6,No,No,59,66,NotPlaced,145
232,7.4,2,1,1,87,4.5,Yes,Yes,68,84,NotPlaced,161
233,7.7,0,1,1,69,4.8,Yes,Yes,78,65,NotPlaced,146
234,7.8,0,1,1,70,3.8,No,Yes,73,73,NotPlaced,148
235,7.5,2,3,0,88,4.6,Yes,Yes,79,83,NotPlaced,163
236,8.2,2,3,1,69,4.0,Yes,Yes,77,82,NotPlaced,151
237,7.8,1,3,2,75,4.3,Yes,Yes,77,86,NotPlaced,153
238,7.6,1,1,0,72,4.6,Yes,Yes,68,84,NotPlaced,148
239,8.5,2,3,2,90,4.8,Yes,Yes,80,79,Placed,175
240,6.7,0,1,1,71,4.7,No,Yes,76,70,NotPlaced,138
241,7.6,1,3,0,82,4.5,No,Yes,56,72,NotPlaced,158
242,7.6,0,2,0,80,3.7,Yes,No,85,61,NotPlaced,156
243,7.3,1,2,0,71,4.4,No,Yes,58,67,NotPlaced,144
244,8.1,1,2,1,78,3.5,No,Yes,71,70,NotPlaced,159
245,7.6,2,3,0,88,4.4,No,Yes,80,68,Placed,164
246,7.4,1,2,0,77,3.8,No,Yes,59,63,NotPlaced,151
247,8.4,0,2,1,85,4.3,Yes,Yes,62,81,Placed,169
248,6.7,1,2,1,73,4.3,No,Yes,71,66,NotPlaced,140
249,6.5,1,1,0,70,4.7,No,Yes,79,64,NotPlaced,135
250,7.4,1,2,1,68,3.4,No,Yes,57,61,NotPlaced,142
251,8.4,2,3,1,76,4.1,Yes,Yes,68,64,NotPlaced,160
252,6.5,1,1,0,68,4.3,No,Yes,55,70,NotPlaced,133
253,6.6,1,2,1,82,4.4,Yes,Yes,74,82,NotPlaced,148
254,8.1,0,2,2,80,4.4,Yes,No,82,85,Placed,161
255,6.5,1,1,0,74,4.2,No,No,59,65,NotPlaced,139
256,8.5,1,3,2,75,4.5,Yes,Yes,75,84,NotPlaced,160
257,8.7,2,3,2,90,4.8,Yes,Yes,83,81,Placed,177
258,7.5,1,2,3,86,4.8,No,Yes,60,67,NotPlaced,161
259,8.1,2,3,2,90,4.8,Yes,Yes,86,88,Placed,171
260,8.2,1,3,1,83,4.1,Yes,Yes,77,83,NotPlaced,165
261,8.7,2,1,0,66,4.8,Yes,No,70,59,NotPlaced,153
262,6.6,0,1,2,72,4.2,No,Yes,86,88,Placed,138
263,8.1,0,2,3,78,4.1,Yes,Yes,81,78,Placed,159
264,6.5,1,3,0,80,3.7,No,No,59,66,NotPlaced,145
265,7.4,1,1,0,88,4.5,No,Yes,76,71,Placed,162
266,8.2,2,3,2,80,4.8,Yes,Yes,79,84,Placed,162
267,6.8,2,2,2,80,4.6,No,Yes,61,69,NotPlaced,148
268,8.0,1,2,1,76,4.5,No,Yes,68,75,NotPlaced,156
269,8.5,1,3,0,82,4.4,Yes,Yes,68,88,Placed,167
270,6.6,1,2,1,65,4.1,No,No,56,58,NotPlaced,131
271,8.4,1,2,0,79,3.8,No,Yes,60,64,NotPlaced,163
272,7.8,1,1,1,79,3.7,No,Yes,56,59,NotPlaced,157
273,7.7,1,2,0,81,3.8,Yes,Yes,65,59,NotPlaced,158
274,6.8,1,1,0,73,3.7,No,Yes,55,65,NotPlaced,141
275,7.3,1,2,1,71,4.7,No,No,59,57,NotPlaced,144
276,6.5,2,2,2,79,4.5,Yes,Yes,83,87,Placed,144
277,8.3,2,1,1,83,4.5,Yes,Yes,82,86,NotPlaced,166
278,7.3,1,2,1,79,3.8,No,Yes,58,73,NotPlaced,152
279,6.8,1,2,1,65,3.9,Yes,Yes,71,85,Placed,133
280,8.7,1,3,2,90,4.8,Yes,Yes,69,88,Placed,177
281,8.3,2,3,1,90,4.8,Yes,No,55,80,Placed,173
282,8.2,1,2,1,79,3.8,Yes,Yes,55,70,NotPlaced,161
283,8.2,1,1,2,86,4.4,No,No,76,82,NotPlaced,168
284,8.5,0,2,0,81,3.2,No,Yes,55,63,NotPlaced,166
285,8.0,0,1,1,87,3.8,No,Yes,55,71,NotPlaced,167
286,7.9,1,1,0,77,4.7,Yes,Yes,64,60,NotPlaced,156
287,7.7,1,1,2,82,4.4,No,No,55,70,NotPlaced,159
288,7.6,0,3,3,75,4.3,Yes,Yes,82,87,Placed,151
289,6.7,1,3,0,77,4.1,Yes,Yes,69,67,NotPlaced,144
290,8.5,0,2,2,75,4.5,Yes,No,76,83,Placed,160
291,8.8,1,2,2,90,4.8,Yes,No,75,88,Placed,178
292,6.5,2,3,1,82,4.6,Yes,No,83,63,NotPlaced,147
293,7.5,0,1,1,80,4.2,Yes,No,84,64,NotPlaced,155
294,7.7,2,3,2,78,4.6,Yes,Yes,78,83,NotPlaced,155
295,7.7,0,1,0,79,4.8,No,Yes,58,71,NotPlaced,156
296,8.6,1,1,2,84,4.3,Yes,Yes,57,82,Placed,170
297,7.5,0,2,0,69,3.6,No,No,61,59,NotPlaced,144
298,6.8,1,1,0,68,4.3,No,Yes,65,69,NotPlaced,136
299,8.1,0,3,2,90,4.8,Yes,Yes,69,84,NotPlaced,171
300,8.4,2,3,3,82,4.5,Yes,No,82,85,Placed,166
301,7.5,1,1,0,67,3.4,No,No,65,71,NotPlaced,142
302,8.1,1,3,0,70,4.8,Yes,No,71,72,NotPlaced,151
303,7.4,1,1,1,64,4.0,No,No,55,62,NotPlaced,138
304,8.4,2,3,2,80,4.6,Yes,Yes,72,79,Placed,164
305,8.2,0,3,2,90,4.8,Yes,Yes,79,80,Placed,172
306,8.0,1,2,1,80,4.3,No,Yes,71,61,NotPlaced,160
307,7.9,0,3,2,90,4.8,Yes,Yes,68,83,Placed,169
308,6.8,0,1,0,77,3.3,No,No,64,69,NotPlaced,145
309,8.3,2,3,2,82,4.6,Yes,Yes,76,85,Placed,165
310,7.4,1,2,1,75,4.3,No,Yes,55,85,NotPlaced,149
311,7.6,1,1,0,66,4.1,No,Yes,62,73,NotPlaced,142
312,8.5,2,3,1,90,4.8,Yes,Yes,78,82,NotPlaced,175
313,8.2,2,3,2,90,4.6,Yes,Yes,77,88,Placed,172
314,8.2,1,3,2,90,4.3,No,Yes,77,82,Placed,172
315,6.5,1,1,0,79,3.6,No,Yes,55,64,NotPlaced,144
316,7.5,1,1,2,82,4.5,Yes,Yes,77,84,Placed,157
317,7.5,1,2,1,85,4.1,No,Yes,71,84,NotPlaced,160
318,6.6,0,1,1,67,4.3,No,Yes,56,65,NotPlaced,133
319,7.6,1,1,1,88,4.5,Yes,Yes,83,86,Placed,164
320,7.5,1,1,1,81,4.5,Yes,Yes,64,68,NotPlaced,156
321,7.5,0,2,1,66,4.5,No,Yes,61,71,Placed,141
322,8.5,2,3,1,85,4.3,Yes,Yes,88,80,Placed,170
323,7.9,2,1,0,71,4.8,No,Yes,56,66,NotPlaced,150
324,8.2,0,2,0,85,4.1,Yes,No,57,70,NotPlaced,167
325,7.2,1,2,0,69,4.0,No,Yes,55,61,NotPlaced,141
326,8.6,2,3,2,90,4.8,Yes,Yes,75,84,Placed,176
327,6.5,1,1,1,78,3.9,No,Yes,67,73,Placed,143
328,8.7,1,3,0,86,4.5,Yes,Yes,77,81,Placed,173
329,7.8,1,2,0,78,4.8,Yes,Yes,75,65,Placed,156
330,7.7,1,1,0,80,4.0,No,Yes,55,66,NotPlaced,157
331,6.5,0,2,0,80,4.6,Yes,Yes,62,86,Placed,145
332,8.5,1,2,1,71,3.8,Yes,Yes,78,69,NotPlaced,156
333,7.4,2,3,0,86,4.6,Yes,Yes,75,72,Placed,160
334,8.6,1,3,2,81,4.8,Yes,Yes,71,82,Placed,167
335,8.0,1,2,1,88,3.6,No,Yes,69,69,NotPlaced,168
336,7.8,1,3,1,89,4.6,Yes,Yes,73,79,Placed,167
337,8.1,1,3,2,90,4.7,Yes,No,72,87,Placed,171
338,7.2,1,2,0,83,4.5,No,Yes,74,69,NotPlaced,155
339,8.4,2,3,2,87,4.8,Yes,Yes,78,88,Placed,171
340,8.4,0,3,2,85,4.6,Yes,Yes,90,79,NotPlaced,169
341,8.3,0,3,1,88,4.7,Yes,Yes,69,80,NotPlaced,171
342,7.2,0,2,1,66,3.9,No,No,67,69,NotPlaced,138
343,8.6,2,3,2,90,4.8,Yes,Yes,77,86,Placed,176
344,7.9,2,1,0,73,4.2,No,No,56,71,NotPlaced,152
345,6.6,1,1,2,81,4.8,Yes,No,68,71,NotPlaced,147
346,7.1,1,1,1,63,3.6,No,Yes,58,68,NotPlaced,134
347,7.8,0,3,0,90,4.7,Yes,Yes,72,69,Placed,168
348,6.6,1,1,1,81,4.0,No,No,73,72,NotPlaced,147
349,6.5,2,3,0,79,3.7,Yes,Yes,68,86,NotPlaced,144
350,7.5,2,1,0,83,4.6,Yes,No,58,81,NotPlaced,158
351,7.5,1,2,0,70,3.7,No,Yes,55,66,NotPlaced,145
352,7.8,0,2,2,74,4.6,Yes,Yes,58,60,NotPlaced,152
353,6.6,1,2,0,71,4.0,No,No,55,68,Placed,137
354,7.4,1,2,0,72,4.3,No,Yes,55,62,NotPlaced,146
355,7.8,1,3,2,77,4.2,Yes,No,77,82,NotPlaced,155
356,8.2,2,3,2,90,4.8,Yes,Yes,89,84,Placed,172
357,8.9,2,3,2,89,4.6,Yes,Yes,71,83,Placed,178
358,8.2,1,2,1,90,4.8,Yes,Yes,78,71,Placed,172
359,7.5,1,3,0,70,4.2,No,Yes,60,68,NotPlaced,145
360,7.7,1,2,0,68,3.9,No,Yes,62,63,NotPlaced,145
361,8.7,1,3,2,90,4.7,Yes,Yes,81,80,Placed,177
362,7.5,1,1,1,65,4.4,No,Yes,55,60,NotPlaced,140
363,6.6,1,1,1,82,3.7,No,Yes,55,60,Placed,148
364,7.4,2,3,1,84,4.8,No,Yes,77,68,Placed,158
365,7.5,0,3,2,90,4.8,Yes,Yes,82,81,Placed,165
366,8.2,1,1,1,79,4.6,No,Yes,55,61,NotPlaced,161
367,8.7,1,2,0,84,4.4,Yes,Yes,65,88,Placed,171
368,8.0,2,3,1,87,4.2,Yes,Yes,75,81,Placed,167
369,8.4,2,2,0,76,4.4,Yes,Yes,77,73,Placed,160
370,8.0,2,2,2,81,4.5,No,No,69,71,NotPlaced,161
371,7.5,1,2,2,70,4.7,Yes,Yes,55,70,NotPlaced,145
372,6.5,1,3,2,90,4.0,Yes,No,85,65,Placed,155
373,7.8,0,3,2,73,4.6,Yes,No,82,85,NotPlaced,151
374,7.6,1,2,0,64,4.5,No,Yes,62,63,NotPlaced,140
375,8.7,0,3,0,75,3.7,Yes,Yes,62,74,NotPlaced,162
376,7.2,1,1,0,85,3.5,No,Yes,84,70,NotPlaced,157
377,8.1,1,3,2,90,4.7,Yes,Yes,70,85,Placed,171
378,7.4,1,2,0,77,4.1,Yes,Yes,55,77,NotPlaced,151
379,8.2,2,2,2,81,4.8,Yes,Yes,78,83,Placed,163
